locationid,latitude,longitude,stationname,parentcity,sourceurl
1,39.9304,116.423239,Dongcheng Dongsi,beijing,http://aqicn.org/city/beijing/dongchengdongsi/
2,39.887403,116.41324,"Temple of Heaven, Dongcheng",beijing,http://aqicn.org/city/beijing/dongchengtiantan/
3,39.930333,116.345162,West Park officials,beijing,http://aqicn.org/city/beijing/xichengguanyuan/
4,39.879354,116.358183,West Wanshou Nishinomiya,beijing,http://aqicn.org/city/beijing/xichengwanshouxigong/
5,39.983406,116.403253,Chaoyang Olympic Sports Center,beijing,http://aqicn.org/city/beijing/chaoyangaotizhongxin/
6,39.938331,116.46715,Chaoyang Agricultural Exhibition Hall,beijing,http://aqicn.org/city/beijing/chaoyangnongzhanguan/
7,39.988245,116.293062,Haidian Wanliu,beijing,http://aqicn.org/city/beijing/haidianwanliu/
8,40.091313,116.180194,The Haidian northern New Area,beijing,http://aqicn.org/city/beijing/haidianbeibuxinqu/
9,40.003252,116.213097,Haidian Beijing Botanical Garden,beijing,http://aqicn.org/city/beijing/haidianbeijingzhiwuyuan/
10,39.86423,116.285037,Fengtai garden,beijing,http://aqicn.org/city/beijing/fengtaihuayuan/
11,39.82535,116.152237,Fengtai Yungang,beijing,http://aqicn.org/city/beijing/fengtaiyungang/
12,39.915286,116.190144,Shijingshan city,beijing,http://aqicn.org/city/beijing/shijingshangucheng/
13,39.743357,116.14225,"Fangshan, Liangxiang",beijing,http://aqicn.org/city/beijing/fangshanliangxiang/
14,39.719389,116.410219,"Huangcunzhen, Daxing",beijing,http://aqicn.org/city/beijing/daxinghuangcunzhen/
15,39.796197,116.51197,BDA,beijing,http://aqicn.org/city/beijing/yizhuangkaifaqu/
16,39.887113,116.6689,Tongzhou New Town,beijing,http://aqicn.org/city/beijing/tongzhouxincheng/
17,40.128111,116.660908,Shunyi New Town ,beijing,http://aqicn.org/city/beijing/shunyixincheng/
18,40.218245,116.236084,Changping Town,beijing,http://aqicn.org/city/beijing/changpingzhen/
19,39.938397,116.112323,"Mentougou, Longquan Town",beijing,http://aqicn.org/city/beijing/mentougoulongquanzhen/
20,40.144433,117.106563,Pinggu town,beijing,http://aqicn.org/city/beijing/pingguzhen/
21,40.329104,116.63387,Huairou town,beijing,http://aqicn.org/city/beijing/huairouzhen/
22,40.371186,116.838053,The town of Miyun,beijing,http://aqicn.org/city/beijing/miyunzhen/
23,40.454217,115.978106,Yanqing town,beijing,http://aqicn.org/city/beijing/yanqingzhen/
24,40.293269,116.226108,Changping Dingling,beijing,http://aqicn.org/city/beijing/changpingdingling/
25,40.36623,115.994146,Badaling Northwest,beijing,http://aqicn.org/city/beijing/jingxibeibadaling/
26,40.500157,116.91701,Miyun Reservoir,beijing,http://aqicn.org/city/beijing/jingdongbeimiyunshuiku/
27,40.10142,117.126556,"Donggaocun Zhen, Pinggu",beijing,http://aqicn.org/city/beijing/jingdongdonggaocun/
28,39.713192,116.78905,"Yongledianzhen, Tongzhou",beijing,http://aqicn.org/city/beijing/jingdongnanyongledian/
29,39.521203,116.306026,"Yufazhen, Daxing",beijing,http://aqicn.org/city/beijing/jingnanyufa/
30,39.581169,116.006089,"Liulihezhen, Fangshan",beijing,http://aqicn.org/city/beijing/jingxinanliulihe/
31,39.900402,116.401242,"Qianmen E St, Dongcheng",beijing,http://aqicn.org/city/beijing/qianmendongdajie/
32,39.877401,116.400238,Yongdingmen Inner St,beijing,http://aqicn.org/city/beijing/yongdingmennadajie/
33,39.955352,116.355187,Xizhimen N St,beijing,http://aqicn.org/city/beijing/xizhimenbeidajie/
34,39.857377,116.37421,South Ring Road,beijing,http://aqicn.org/city/beijing/nansanhuanxilu/
